"COOK, IL  [COUNTY, 17031]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL POPULATION AGE 7 YEARS (in thousands)","n.a.",106.757,105.147,100.161,93.434,89.615,86.518,86.854,87.547,88.502,79.646,74.341,70.875,71.363,69.194,71.614,70.770,71.955,73.224,72.575,72.211,70.352,68.836,70.655,70.856,70.908,73.029,75.273,78.510,81.286,81.880,81.015,78.243,76.772,72.520,68.385,66.161,63.927,63.709,66.967,65.188,65.606,66.778,66.482,66.602,66.993,66.533,64.100,64.189,64.019,62.912,61.636,60.706,61.046,60.103,59.306,58.689,57.160,56.551,58.158,58.929,58.367,58.543,58.591,58.522,58.522,58.484,58.381,58.247,58.071,57.828,57.545,57.210,56.790,56.196,55.646,55.158,54.758,54.432,54.168,54.018,53.950,53.893,53.801,53.654,53.551,53.492,53.487,53.442,53.390,53.350,53.278
"    TOTAL POPULATION AGE 8 YEARS (in thousands)","n.a.",106.846,104.895,102.405,96.834,90.614,86.582,83.675,83.643,84.019,84.361,76.390,71.112,68.117,68.378,66.467,68.373,67.481,68.537,69.411,68.781,67.631,67.710,66.371,68.055,68.776,69.184,71.687,74.091,77.286,80.354,80.516,79.353,76.613,75.055,70.874,66.998,64.846,63.199,63.438,67.056,65.384,65.626,66.682,66.272,66.360,66.452,65.984,63.468,63.523,63.527,62.230,60.382,59.388,60.496,59.548,58.763,58.143,56.614,55.979,57.578,58.340,57.777,57.933,57.979,57.908,57.900,57.860,57.745,57.606,57.421,57.177,56.895,56.551,56.132,55.532,54.982,54.508,54.108,53.787,53.522,53.379,53.323,53.267,53.181,53.037,52.937,52.884,52.887,52.850,52.808,52.770
"    TOTAL POPULATION AGE 9 YEARS (in thousands)","n.a.",111.470,109.043,106.300,103.182,98.070,91.631,87.778,84.630,84.494,84.432,84.194,76.891,72.445,69.716,70.692,68.864,71.302,70.956,72.331,73.935,72.218,72.663,72.226,70.097,71.777,72.285,72.543,74.756,76.604,79.544,80.957,78.921,77.690,75.076,73.504,69.600,65.548,63.916,62.644,63.477,66.538,65.300,65.656,66.489,65.959,65.928,65.810,65.336,62.857,63.014,63.016,61.839,59.933,59.703,60.807,59.842,59.054,58.403,56.841,56.228,57.838,58.600,58.017,58.175,58.212,58.144,58.135,58.083,57.960,57.811,57.624,57.376,57.084,56.743,56.313,55.710,55.170,54.694,54.292,53.972,53.713,53.576,53.523,53.475,53.387,53.246,53.150,53.109,53.118,53.087,53.048
"  TOTAL POPULATION AGE 10 to 14 YEARS (in thousands)","n.a.",550.200,553.439,546.989,536.062,526.611,512.706,493.750,472.852,451.052,429.558,414.690,409.329,402.116,391.803,379.548,365.448,348.195,340.631,336.052,336.322,334.813,345.575,352.837,358.211,360.743,361.388,363.689,365.447,368.487,375.430,381.749,386.106,388.424,387.972,383.324,375.961,366.667,357.185,348.986,342.988,338.334,335.508,333.048,330.610,329.147,326.781,324.369,323.399,322.190,318.645,315.799,315.481,311.928,310.953,311.337,311.354,309.014,306.792,304.964,301.816,296.971,294.827,294.247,293.821,295.174,297.128,297.349,296.749,296.677,296.306,295.778,295.129,294.254,293.151,291.801,290.166,288.176,285.898,283.453,280.964,278.605,276.637,275.088,273.964,273.165,272.601,272.158,271.807,271.476,271.218,270.991
"    TOTAL POPULATION AGE 10 YEARS (in thousands)","n.a.",114.076,114.966,111.464,107.813,104.915,99.271,92.721,88.300,84.688,83.727,83.161,84.553,77.398,72.567,69.901,70.335,68.328,70.634,69.833,71.159,72.477,72.458,72.955,72.453,70.857,72.893,73.839,74.253,76.504,78.691,81.726,80.257,78.762,78.135,75.800,75.038,71.447,68.290,67.702,66.988,67.531,66.594,65.336,65.456,66.141,65.681,65.418,65.187,64.670,62.391,62.633,64.296,62.548,61.407,61.139,62.264,61.256,60.442,59.758,58.129,57.521,59.161,59.914,59.312,59.459,59.492,59.409,59.379,59.312,59.173,59.016,58.813,58.547,58.243,57.879,57.431,56.817,56.258,55.770,55.360,55.030,54.771,54.634,54.580,54.525,54.437,54.295,54.209,54.170,54.186,54.155
"    TOTAL POPULATION AGE 11 YEARS (in thousands)","n.a.",110.581,109.751,110.157,106.502,103.829,101.125,96.196,89.871,85.647,81.882,80.763,80.885,82.451,75.148,70.543,67.466,67.756,65.705,67.512,66.733,67.145,71.695,71.580,71.780,71.658,70.219,72.433,73.356,73.569,75.869,77.603,80.789,79.173,77.364,76.563,74.339,73.367,70.124,67.303,67.098,66.623,67.396,66.586,65.126,65.150,65.872,65.171,64.859,64.779,64.318,61.908,62.897,63.436,62.508,61.354,61.074,62.187,61.168,60.331,59.636,58.015,57.419,59.048,59.796,59.191,59.336,59.365,59.271,59.231,59.158,59.015,58.849,58.645,58.378,58.065,57.696,57.263,56.645,56.090,55.604,55.201,54.885,54.633,54.497,54.445,54.394,54.311,54.184,54.102,54.074,54.088
"    TOTAL POPULATION AGE 12 YEARS (in thousands)","n.a.",110.528,110.319,108.763,108.580,105.571,102.733,100.331,95.205,88.798,84.137,80.728,80.709,81.125,82.386,75.243,70.177,67.053,67.256,64.937,66.745,65.228,68.014,72.430,71.986,72.428,72.406,71.103,73.242,73.916,74.135,75.708,77.003,79.827,78.337,76.470,75.646,73.762,72.976,70.218,67.796,67.357,66.602,67.353,66.401,64.878,64.813,65.396,64.606,64.176,64.283,63.853,61.665,62.330,63.666,62.707,61.543,61.251,62.356,61.305,60.463,59.757,58.131,57.546,59.178,59.926,59.321,59.465,59.483,59.381,59.334,59.260,59.112,58.947,58.738,58.460,58.148,57.784,57.352,56.740,56.184,55.705,55.316,55.004,54.754,54.618,54.572,54.524,54.453,54.333,54.260,54.232
"    TOTAL POPULATION AGE 13 YEARS (in thousands)","n.a.",109.056,108.951,108.138,106.185,106.767,103.779,101.467,99.064,94.096,87.502,83.497,80.551,81.003,81.307,82.886,75.381,70.379,67.313,67.313,65.156,66.147,66.299,68.803,72.756,72.410,72.790,72.756,71.228,72.945,73.503,73.400,75.207,76.243,78.789,77.059,75.260,74.413,72.618,72.147,69.772,67.850,67.190,66.626,67.232,66.087,64.596,64.248,64.859,64.133,63.841,63.995,63.474,60.955,62.415,63.730,62.757,61.584,61.272,62.354,61.293,60.453,59.733,58.101,57.529,59.166,59.907,59.302,59.430,59.443,59.331,59.288,59.207,59.054,58.886,58.672,58.388,58.083,57.722,57.289,56.683,56.137,55.667,55.284,54.978,54.726,54.596,54.552,54.518,54.456,54.340,54.268
"    TOTAL POPULATION AGE 14 YEARS (in thousands)","n.a.",105.959,109.452,108.467,106.982,105.529,105.798,103.035,100.412,97.823,92.310,86.541,82.631,80.139,80.395,80.975,82.089,74.679,69.723,66.457,66.529,63.816,67.109,67.069,69.236,73.390,73.080,73.558,73.368,71.553,73.232,73.312,72.850,74.419,75.347,77.432,75.678,73.678,73.177,71.616,71.334,68.973,67.726,67.147,66.395,66.891,65.819,64.136,63.888,64.432,63.812,63.410,63.149,62.659,60.957,62.407,63.716,62.736,61.554,61.216,62.295,61.225,60.383,59.638,58.006,57.432,59.072,59.808,59.186,59.310,59.310,59.199,59.148,59.061,58.906,58.725,58.503,58.229,57.921,57.564,57.133,56.532,55.998,55.533,55.155,54.851,54.602,54.476,54.443,54.415,54.358,54.248
"  TOTAL POPULATION AGE 15 to 19 YEARS (in thousands)","n.a.",470.386,480.854,489.344,492.972,497.293,498.272,501.051,497.219,491.900,482.534,470.763,453.171,437.302,420.744,407.993,397.791,394.238,386.974,376.445,363.265,350.353,339.379,336.723,337.002,342.061,351.655,360.402,365.214,370.014,370.092,368.843,363.825,360.442,359.165,360.163,361.248,362.487,363.733,364.158,362.744,358.838,353.214,346.442,338.732,331.727,327.004,323.480,319.682,316.595,315.178,311.891,308.275,305.910,308.194,307.621,308.350,309.920,310.266,309.050,309.171,308.812,306.167,303.851,301.867,298.317,293.072,290.358,290.154,290.398,292.752,294.554,294.736,294.169,294.117,293.762,293.220,292.612,291.772,290.731,289.512,288.055,286.254,284.171,281.929,279.661,277.547,275.771,274.447,273.547,272.985,272.633
"    TOTAL POPULATION AGE 15 YEARS (in thousands)","n.a.",104.754,105.784,108.490,106.952,106.100,104.495,105.105,102.192,99.562,96.561,91.753,85.902,82.443,79.764,80.274,80.425,81.536,74.178,68.997,65.847,65.316,65.254,68.502,68.157,70.625,74.961,74.873,75.251,74.883,73.143,74.503,73.153,72.583,73.977,74.721,76.708,74.994,73.369,73.308,72.131,71.295,68.610,67.632,66.894,65.940,66.449,65.445,63.736,63.537,64.158,63.395,63.398,62.867,63.207,61.472,62.924,64.226,63.222,62.006,61.644,62.729,61.644,60.776,60.011,58.361,57.813,59.457,60.185,59.546,59.659,59.659,59.537,59.482,59.390,59.219,59.034,58.820,58.542,58.234,57.873,57.441,56.848,56.316,55.854,55.469,55.165,54.920,54.803,54.771,54.749,54.695
"    TOTAL POPULATION AGE 16 YEARS (in thousands)","n.a.",99.362,101.388,101.979,104.376,103.827,103.172,102.279,103.023,100.469,97.748,95.367,90.783,85.589,82.111,79.856,80.098,80.419,81.693,74.274,69.389,65.578,66.403,66.057,68.800,68.548,70.977,75.349,74.992,74.937,74.529,72.840,74.687,73.230,72.454,73.575,74.290,76.211,74.720,73.444,73.381,72.395,71.114,68.535,67.260,66.511,65.702,66.119,65.046,63.398,63.308,63.737,63.203,62.515,62.811,63.143,61.402,62.829,64.082,63.027,61.809,61.447,62.523,61.413,60.545,59.764,58.118,57.598,59.245,59.954,59.315,59.430,59.425,59.301,59.243,59.141,58.971,58.791,58.577,58.302,57.999,57.647,57.230,56.644,56.124,55.662,55.287,54.991,54.760,54.650,54.625,54.607
"    TOTAL POPULATION AGE 17 YEARS (in thousands)","n.a.",96.849,99.504,100.961,101.161,104.309,103.704,103.511,102.487,103.303,100.341,97.918,95.742,91.826,86.613,83.604,81.133,81.617,82.205,83.548,76.456,71.898,68.740,69.456,69.262,72.122,71.407,73.554,77.155,76.448,76.184,75.618,73.593,75.178,73.411,72.421,73.612,74.219,76.297,75.107,74.017,73.540,72.558,71.245,68.572,67.405,66.633,65.621,66.108,65.016,63.411,63.179,63.598,63.032,63.285,63.631,64.019,62.103,63.645,65.083,64.011,62.778,62.452,63.549,62.454,61.372,60.477,58.660,58.815,60.421,61.190,60.568,60.711,60.731,60.621,60.575,60.488,60.335,60.162,59.960,59.694,59.396,59.046,58.616,58.026,57.487,57.023,56.649,56.361,56.130,56.025,56.000
"    TOTAL POPULATION AGE 18 YEARS (in thousands)","n.a.",86.250,88.619,90.372,91.308,92.215,95.010,94.865,94.446,93.586,93.957,91.280,88.968,87.456,83.712,79.127,75.981,73.628,74.049,74.339,75.633,69.883,66.391,63.861,64.786,64.505,67.847,67.571,69.603,73.438,72.827,73.403,73.490,70.977,72.429,70.657,69.787,70.743,71.664,73.868,72.618,71.794,71.241,70.090,68.480,65.861,64.763,63.908,63.139,63.637,62.612,60.897,59.900,60.250,60.485,60.758,61.099,61.515,59.648,61.124,62.491,61.373,60.219,59.894,60.972,59.882,58.805,57.885,56.105,56.450,58.024,58.779,58.197,58.347,58.387,58.301,58.271,58.211,58.081,57.937,57.768,57.538,57.285,56.975,56.586,56.052,55.567,55.151,54.831,54.586,54.390,54.308
"    TOTAL POPULATION AGE 19 YEARS (in thousands)","n.a.",83.171,85.559,87.542,89.175,90.842,91.891,95.291,95.071,94.980,93.927,94.445,91.776,89.988,88.544,85.132,80.154,77.038,74.849,75.287,75.940,77.678,72.591,68.847,65.997,66.261,66.463,69.055,68.213,70.308,73.409,72.479,68.902,68.474,66.894,68.789,66.851,66.320,67.683,68.431,70.597,69.814,69.691,68.940,67.526,66.010,63.457,62.387,61.653,61.007,61.689,60.683,58.176,57.246,58.406,58.617,58.906,59.247,59.669,57.810,59.216,60.485,59.329,58.219,57.885,58.938,57.859,56.758,55.804,54.027,54.564,56.118,56.866,56.308,56.476,56.526,56.456,56.455,56.410,56.298,56.178,56.033,55.845,55.620,55.339,54.991,54.505,54.060,53.692,53.410,53.196,53.023
"  TOTAL POPULATION AGE 20 to 24 YEARS (in thousands)","n.a.",422.344,449.846,448.743,451.951,459.374,468.438,476.925,485.860,491.717,493.092,493.327,494.312,492.018,487.751,483.738,474.047,459.061,442.973,425.457,411.338,403.182,401.384,400.887,399.341,393.892,385.945,375.482,371.921,374.010,378.919,386.605,389.779,386.254,383.694,381.080,374.062,370.047,369.756,369.913,372.218,371.407,371.411,372.360,373.333,371.573,365.419,357.436,349.337,341.289,334.640,329.133,323.169,319.641,319.662,320.476,318.267,318.136,319.970,322.231,321.197,321.404,322.632,322.352,320.707,321.000,320.697,317.605,314.641,311.954,307.734,302.634,300.381,299.990,300.189,302.463,304.553,304.779,304.111,304.077,303.751,303.255,302.732,301.995,301.084,299.984,298.644,296.974,295.065,293.008,290.949,288.992
"    TOTAL POPULATION AGE 20 YEARS (in thousands)","n.a.",80.646,85.139,87.302,88.739,91.185,92.679,93.936,96.978,96.566,95.843,94.646,94.995,92.590,90.622,89.181,84.988,79.868,76.629,74.023,74.480,76.590,77.977,73.644,70.299,67.293,68.147,67.990,70.409,70.143,71.986,74.908,72.566,69.018,68.922,67.247,68.207,66.933,66.421,67.826,68.422,70.259,69.203,69.003,68.296,66.797,65.168,62.757,61.367,60.542,59.971,60.561,60.168,58.111,57.954,59.107,59.308,59.587,59.907,60.323,58.418,59.827,61.053,59.866,58.719,58.357,59.414,58.295,57.160,56.150,54.359,54.945,56.502,57.241,56.677,56.829,56.871,56.801,56.786,56.735,56.622,56.495,56.356,56.160,55.934,55.653,55.304,54.816,54.382,54.017,53.735,53.519
"    TOTAL POPULATION AGE 21 YEARS (in thousands)","n.a.",79.470,80.828,85.001,86.068,88.094,90.234,92.085,93.045,95.845,95.033,94.331,93.016,93.976,91.692,90.116,88.196,84.356,79.378,76.089,73.795,73.943,76.075,77.987,73.589,69.956,67.146,67.556,67.127,69.775,68.956,70.838,75.344,72.976,69.406,69.525,66.845,68.482,67.167,66.581,67.972,68.613,70.577,69.533,69.421,68.519,66.784,64.965,62.615,61.037,60.491,59.572,61.866,59.792,58.547,58.422,59.591,59.772,60.050,60.359,60.773,58.836,60.240,61.434,60.226,59.055,58.664,59.730,58.567,57.405,56.339,54.539,55.181,56.763,57.501,56.930,57.084,57.131,57.060,57.056,57.008,56.899,56.785,56.652,56.465,56.247,55.971,55.636,55.169,54.744,54.392,54.124
"    TOTAL POPULATION AGE 22 YEARS (in thousands)","n.a.",87.065,88.123,88.331,91.023,92.190,93.989,96.263,97.736,98.327,100.662,99.727,98.883,98.020,98.942,96.829,94.615,92.683,88.588,83.163,79.993,77.579,77.320,80.463,82.568,77.996,74.426,71.710,72.315,72.609,75.214,75.275,74.477,79.014,76.309,72.752,72.969,70.653,72.401,71.360,70.654,71.914,71.648,73.682,72.659,72.299,71.292,69.500,67.641,65.137,63.752,62.872,63.046,64.897,63.426,62.035,61.903,63.096,63.234,63.449,63.737,64.131,62.106,63.566,64.877,63.615,62.384,61.977,63.092,61.839,60.602,59.466,57.589,58.131,59.768,60.519,59.893,60.037,60.064,59.968,59.937,59.872,59.741,59.602,59.443,59.224,58.974,58.675,58.306,57.800,57.345,56.958
"    TOTAL POPULATION AGE 23 YEARS (in thousands)","n.a.",97.689,91.346,91.627,90.688,93.592,94.690,96.643,98.571,99.792,99.764,102.441,101.951,101.838,101.106,102.562,100.174,98.307,96.507,92.346,87.222,84.168,81.788,82.503,85.943,88.273,83.530,80.152,77.538,79.063,79.186,82.140,81.548,80.480,85.124,83.052,79.212,80.526,78.680,80.948,79.856,77.716,77.468,77.573,79.895,78.745,78.066,77.031,75.576,74.021,71.487,70.001,68.027,67.171,70.019,68.283,66.696,66.569,67.792,67.865,67.982,68.258,68.628,66.506,68.075,69.546,68.253,66.939,66.508,67.702,66.338,65.021,63.797,61.841,62.201,63.901,64.678,63.992,64.112,64.117,63.991,63.939,63.853,63.690,63.523,63.329,63.075,62.791,62.452,62.045,61.494,60.985
"    TOTAL POPULATION AGE 24 YEARS (in thousands)","n.a.",77.474,104.410,96.482,95.433,94.313,96.846,97.998,99.530,101.187,101.790,102.182,105.467,105.594,105.389,105.050,106.074,103.847,101.871,99.836,95.848,90.902,88.224,86.290,86.942,90.374,92.696,88.074,84.532,82.420,83.577,83.444,85.844,84.766,83.933,88.504,86.829,83.453,85.087,83.198,85.314,82.905,82.515,82.569,83.062,85.213,84.109,83.183,82.138,80.552,78.939,76.127,70.062,69.670,69.716,72.629,70.769,69.112,68.987,70.235,70.287,70.352,70.605,70.980,68.810,70.427,71.982,70.664,69.314,68.858,70.096,68.663,67.312,66.014,64.042,64.284,66.027,66.818,66.089,66.201,66.193,66.050,65.997,65.891,65.719,65.531,65.320,65.056,64.756,64.402,63.983,63.406
"  TOTAL POPULATION AGE 25 to 29 YEARS (in thousands)","n.a.",389.057,390.409,412.787,417.437,429.839,441.290,460.240,455.385,458.712,461.218,468.070,475.799,487.567,495.997,503.292,505.171,507.388,503.829,497.097,490.249,482.272,474.322,466.302,456.916,447.699,444.043,447.776,448.454,449.710,447.252,441.445,434.595,430.155,427.007,425.548,427.383,431.463,432.475,438.536,439.500,435.015,437.791,439.480,442.752,444.962,445.090,445.364,446.277,444.542,442.742,435.773,406.258,383.755,370.584,360.830,357.215,356.227,356.715,356.709,357.643,355.669,355.354,356.411,357.981,356.193,356.272,357.958,357.931,356.110,355.819,355.251,351.763,348.229,344.947,340.410,334.952,332.011,330.938,330.338,331.477,333.370,333.239,332.343,332.093,331.564,330.864,330.102,329.167,328.049,326.770,325.241
"    TOTAL POPULATION AGE 25 YEARS (in thousands)","n.a.",77.047,74.928,100.726,92.961,92.849,92.088,95.238,96.547,98.312,99.762,101.049,101.878,105.350,105.021,104.869,103.723,104.508,101.966,99.497,97.417,94.108,90.536,88.763,87.236,88.210,92.035,95.154,90.830,88.223,86.154,87.434,87.171,88.799,86.931,86.467,91.287,90.081,87.029,89.047,86.406,87.138,85.892,85.496,86.298,86.435,88.647,87.573,86.603,84.788,83.698,81.863,74.330,70.449,70.970,71.038,74.000,72.057,70.365,70.262,71.520,71.569,71.594,71.837,72.222,70.021,71.686,73.267,71.929,70.554,70.080,71.351,69.860,68.493,67.151,65.188,65.353,67.135,67.922,67.184,67.287,67.278,67.139,67.077,66.971,66.789,66.598,66.388,66.117,65.820,65.464,65.039
