"WILL, IL  [COUNTY, 17197]"
"[see data note at the bottom of this file]"
" ",1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
"    TOTAL POPULATION AGE 7 YEARS (in thousands)","n.a.",5.744,5.725,5.666,5.543,5.513,5.568,5.812,6.119,6.380,5.961,5.725,5.529,5.567,5.398,5.586,5.581,5.716,5.918,6.003,6.077,6.088,6.056,6.347,6.470,6.646,7.035,7.480,8.105,8.449,8.739,8.992,9.103,9.665,10.070,10.127,10.348,10.504,11.173,11.443,11.216,11.133,10.981,10.739,10.564,10.225,10.033,9.490,9.515,9.054,9.122,8.867,8.656,8.649,8.702,8.153,8.042,7.649,8.692,8.621,8.848,8.861,8.994,9.098,9.204,9.308,9.417,9.523,9.642,9.772,9.910,10.044,10.163,10.284,10.404,10.521,10.642,10.733,10.837,10.916,10.986,11.056,11.140,11.225,11.315,11.394,11.457,11.547,11.625,11.715,11.802,11.899
"    TOTAL POPULATION AGE 8 YEARS (in thousands)","n.a.",5.752,5.708,5.807,5.747,5.519,5.540,5.558,5.767,6.018,6.262,5.841,5.461,5.248,5.312,5.178,5.377,5.392,5.563,5.764,5.862,5.942,6.038,5.974,6.296,6.469,6.682,7.094,7.511,8.109,8.533,8.847,9.277,9.520,10.107,10.451,10.543,10.749,10.843,11.420,11.701,11.326,11.067,10.970,10.669,10.539,10.243,10.096,9.537,9.589,9.144,9.144,8.805,8.635,8.755,8.805,8.253,8.137,7.743,8.799,8.721,8.950,8.965,9.103,9.207,9.314,9.418,9.527,9.631,9.754,9.884,10.030,10.163,10.288,10.411,10.534,10.653,10.777,10.869,10.979,11.057,11.132,11.205,11.290,11.381,11.476,11.552,11.618,11.706,11.788,11.879,11.963
"    TOTAL POPULATION AGE 9 YEARS (in thousands)","n.a.",5.987,5.943,6.047,6.179,6.034,5.881,5.891,5.896,6.087,6.364,6.590,6.029,5.647,5.478,5.602,5.515,5.786,5.875,6.102,6.379,6.422,6.603,6.612,6.547,6.894,7.065,7.264,7.611,7.970,8.607,8.958,9.205,9.637,9.849,10.376,10.707,10.794,10.776,10.813,11.275,11.542,11.283,11.086,10.934,10.686,10.566,10.277,10.129,9.621,9.617,9.168,9.107,8.761,8.717,8.833,8.887,8.329,8.210,7.814,8.880,8.802,9.036,9.051,9.191,9.298,9.408,9.515,9.621,9.732,9.855,9.988,10.137,10.279,10.405,10.535,10.657,10.782,10.910,11.008,11.120,11.205,11.286,11.360,11.448,11.542,11.641,11.724,11.790,11.879,11.963,12.053
"  TOTAL POPULATION AGE 10 to 14 YEARS (in thousands)","n.a.",28.526,29.020,29.854,30.679,30.964,31.373,31.212,30.882,30.361,30.030,30.141,30.273,29.809,29.254,28.552,27.951,27.207,27.386,27.902,28.788,29.611,30.781,31.624,32.681,33.654,34.739,35.966,36.978,38.015,39.805,41.946,44.575,47.281,49.930,52.241,54.067,55.825,56.842,57.375,57.325,57.427,57.417,57.315,56.880,56.508,55.249,54.591,53.838,53.141,51.907,50.864,49.570,48.290,47.548,47.289,46.668,46.648,45.992,45.421,44.491,44.514,44.418,45.161,46.086,47.562,48.012,48.670,49.175,49.797,50.374,50.986,51.638,52.334,53.070,53.831,54.577,55.329,56.046,56.761,57.445,58.121,58.755,59.336,59.862,60.371,60.857,61.358,61.848,62.327,62.791,63.249
"    TOTAL POPULATION AGE 10 YEARS (in thousands)","n.a.",5.985,6.128,6.195,6.300,6.321,6.229,6.031,6.007,5.967,6.154,6.418,6.533,5.946,5.595,5.458,5.605,5.535,5.855,5.948,6.199,6.501,6.544,6.679,6.750,6.724,7.134,7.331,7.506,7.832,8.258,8.918,9.364,9.719,10.151,10.497,11.030,11.460,11.515,11.483,11.438,11.772,11.432,11.287,11.056,10.961,10.744,10.628,10.376,10.205,9.629,9.682,9.309,9.256,9.033,8.983,9.106,9.166,8.593,8.466,8.063,9.166,9.083,9.326,9.346,9.491,9.602,9.714,9.822,9.939,10.052,10.183,10.324,10.481,10.629,10.763,10.896,11.031,11.162,11.296,11.400,11.520,11.613,11.699,11.783,11.876,11.977,12.077,12.161,12.234,12.325,12.414
"    TOTAL POPULATION AGE 11 YEARS (in thousands)","n.a.",5.855,5.880,6.146,6.226,6.232,6.320,6.201,5.974,5.912,5.876,6.064,6.208,6.274,5.732,5.411,5.291,5.447,5.412,5.718,5.822,6.033,6.471,6.494,6.701,6.841,6.885,7.346,7.547,7.714,8.155,8.661,9.274,9.749,10.067,10.441,10.751,11.173,11.421,11.367,11.193,11.384,11.824,11.503,11.228,11.057,10.955,10.772,10.592,10.429,10.260,9.694,9.989,9.324,9.398,9.176,9.120,9.252,9.311,8.730,8.595,8.189,9.312,9.231,9.478,9.497,9.643,9.759,9.874,9.987,10.104,10.223,10.361,10.506,10.668,10.825,10.958,11.098,11.235,11.373,11.513,11.624,11.750,11.845,11.935,12.023,12.119,12.223,12.329,12.415,12.484,12.580
"    TOTAL POPULATION AGE 12 YEARS (in thousands)","n.a.",5.772,5.794,5.953,6.240,6.221,6.303,6.368,6.227,5.976,5.922,5.895,6.010,6.113,6.198,5.675,5.365,5.261,5.441,5.405,5.716,5.776,6.029,6.430,6.503,6.745,6.932,6.990,7.426,7.590,7.825,8.258,8.956,9.691,10.176,10.514,10.814,11.115,11.502,11.653,11.512,11.341,11.336,11.867,11.517,11.212,10.979,10.961,10.778,10.669,10.498,10.333,9.625,9.957,9.432,9.501,9.280,9.221,9.358,9.418,8.834,8.692,8.284,9.420,9.337,9.587,9.607,9.759,9.872,9.993,10.106,10.227,10.351,10.490,10.641,10.809,10.966,11.106,11.250,11.393,11.534,11.682,11.797,11.927,12.024,12.118,12.208,12.310,12.416,12.522,12.611,12.682
"    TOTAL POPULATION AGE 13 YEARS (in thousands)","n.a.",5.552,5.617,5.775,5.959,6.160,6.227,6.290,6.333,6.169,5.922,5.871,5.755,5.841,5.973,6.084,5.610,5.328,5.267,5.458,5.445,5.728,5.841,6.071,6.529,6.654,6.957,7.171,7.215,7.627,7.875,8.150,8.602,9.256,10.014,10.512,10.796,11.117,11.231,11.615,11.671,11.439,11.382,11.328,11.826,11.499,11.178,11.052,10.985,10.821,10.705,10.473,10.273,9.585,10.057,9.529,9.594,9.375,9.312,9.454,9.508,8.920,8.779,8.368,9.518,9.431,9.688,9.707,9.860,9.976,10.095,10.213,10.340,10.468,10.612,10.767,10.935,11.097,11.240,11.390,11.539,11.685,11.834,11.954,12.086,12.188,12.284,12.379,12.480,12.589,12.698,12.790
"    TOTAL POPULATION AGE 14 YEARS (in thousands)","n.a.",5.362,5.601,5.785,5.954,6.030,6.294,6.322,6.341,6.337,6.156,5.893,5.767,5.635,5.756,5.924,6.080,5.636,5.411,5.373,5.606,5.573,5.896,5.950,6.198,6.690,6.831,7.128,7.284,7.252,7.692,7.959,8.379,8.866,9.522,10.277,10.676,10.960,11.173,11.257,11.511,11.491,11.443,11.330,11.253,11.779,11.393,11.178,11.107,11.017,10.815,10.682,10.374,10.168,9.628,10.100,9.568,9.634,9.418,9.353,9.491,9.547,8.960,8.816,8.407,9.556,9.472,9.731,9.747,9.902,10.017,10.140,10.262,10.389,10.520,10.667,10.822,10.997,11.159,11.309,11.459,11.610,11.761,11.911,12.034,12.166,12.269,12.369,12.462,12.567,12.673,12.783
"  TOTAL POPULATION AGE 15 to 19 YEARS (in thousands)","n.a.",22.468,23.310,24.724,26.139,27.036,28.146,29.162,29.732,30.058,30.283,30.309,29.508,28.551,27.772,27.305,27.251,27.663,27.852,27.912,27.770,27.618,27.024,27.005,27.641,28.699,30.189,31.659,32.971,34.225,35.369,36.804,38.090,39.432,41.162,43.636,45.841,48.455,50.340,51.649,52.262,52.885,53.488,53.410,53.038,52.727,52.836,52.815,52.689,52.514,52.264,51.504,52.048,51.236,51.145,50.351,50.058,49.194,48.705,48.027,47.786,47.242,47.218,46.637,46.036,45.067,45.114,45.010,45.871,46.940,48.480,48.956,49.688,50.288,51.002,51.687,52.387,53.127,53.922,54.764,55.612,56.464,57.312,58.117,58.911,59.664,60.399,61.080,61.718,62.296,62.858,63.397
"    TOTAL POPULATION AGE 15 YEARS (in thousands)","n.a.",5.083,5.211,5.594,5.822,5.932,6.109,6.373,6.393,6.407,6.421,6.253,5.915,5.737,5.611,5.737,5.902,6.055,5.632,5.397,5.359,5.541,5.540,5.831,5.944,6.242,6.781,6.946,7.227,7.360,7.401,7.895,8.184,8.646,9.118,9.862,10.595,11.045,11.103,11.329,11.329,11.518,11.494,11.371,11.277,11.248,11.738,11.340,11.198,11.097,10.990,10.844,10.678,10.355,10.298,9.751,10.227,9.687,9.757,9.538,9.470,9.611,9.673,9.078,8.931,8.520,9.682,9.597,9.854,9.875,10.030,10.152,10.280,10.404,10.538,10.672,10.823,10.982,11.158,11.331,11.482,11.640,11.797,11.948,12.105,12.229,12.368,12.472,12.573,12.668,12.775,12.885
"    TOTAL POPULATION AGE 16 YEARS (in thousands)","n.a.",4.873,5.035,5.281,5.682,5.821,5.991,6.137,6.370,6.354,6.355,6.374,6.123,5.769,5.625,5.537,5.685,5.874,6.069,5.678,5.470,5.395,5.584,5.562,5.905,6.056,6.414,6.987,7.133,7.388,7.595,7.739,8.180,8.463,8.962,9.460,10.131,10.935,11.247,11.291,11.447,11.461,11.509,11.445,11.350,11.254,11.199,11.723,11.322,11.191,11.028,10.958,10.858,10.691,10.517,10.463,9.896,10.385,9.847,9.916,9.688,9.622,9.772,9.835,9.238,9.078,8.669,9.846,9.756,10.019,10.039,10.200,10.328,10.454,10.585,10.723,10.854,11.011,11.177,11.360,11.536,11.691,11.852,12.010,12.168,12.325,12.451,12.588,12.697,12.796,12.891,12.997
"    TOTAL POPULATION AGE 17 YEARS (in thousands)","n.a.",4.674,4.856,5.120,5.372,5.681,5.875,6.012,6.115,6.307,6.279,6.288,6.236,5.992,5.708,5.622,5.569,5.757,6.013,6.268,5.912,5.738,5.593,5.746,5.805,6.181,6.337,6.646,7.167,7.289,7.598,7.872,8.045,8.493,8.809,9.307,9.716,10.387,11.168,11.282,11.332,11.461,11.461,11.501,11.371,11.300,11.183,11.183,11.715,11.310,11.146,11.060,11.143,10.913,10.916,10.726,10.685,10.071,10.599,10.092,10.144,9.919,9.858,10.022,10.078,9.434,9.240,8.807,10.110,10.003,10.284,10.309,10.485,10.618,10.757,10.895,11.036,11.178,11.343,11.516,11.706,11.885,12.043,12.204,12.362,12.515,12.672,12.799,12.937,13.048,13.150,13.248
"    TOTAL POPULATION AGE 18 YEARS (in thousands)","n.a.",4.102,4.267,4.512,4.761,4.907,5.247,5.385,5.467,5.526,5.687,5.666,5.599,5.519,5.328,5.084,5.007,4.961,5.145,5.373,5.597,5.311,5.057,4.928,5.150,5.209,5.598,5.727,6.012,6.505,6.660,7.040,7.462,7.441,7.829,8.103,8.435,8.877,9.311,9.944,9.924,10.057,10.231,10.208,10.176,10.094,9.981,9.947,9.858,10.370,10.133,9.858,10.105,10.141,10.098,10.108,9.929,9.910,9.346,9.840,9.384,9.408,9.226,9.155,9.323,9.394,8.794,8.592,8.193,9.443,9.334,9.608,9.642,9.815,9.951,10.090,10.226,10.368,10.512,10.677,10.845,11.035,11.215,11.372,11.532,11.691,11.843,11.999,12.131,12.270,12.384,12.490
"    TOTAL POPULATION AGE 19 YEARS (in thousands)","n.a.",3.736,3.941,4.217,4.502,4.695,4.924,5.255,5.387,5.464,5.541,5.728,5.635,5.534,5.500,5.325,5.088,5.016,4.993,5.196,5.432,5.633,5.250,4.938,4.837,5.011,5.059,5.353,5.432,5.683,6.115,6.258,6.219,6.389,6.444,6.904,6.964,7.211,7.511,7.803,8.230,8.388,8.793,8.885,8.864,8.831,8.735,8.622,8.596,8.546,8.967,8.784,9.264,9.136,9.316,9.303,9.321,9.141,9.156,8.641,9.100,8.682,8.689,8.547,8.466,8.641,8.729,8.168,7.958,7.600,8.793,8.687,8.953,8.997,9.171,9.307,9.448,9.588,9.732,9.880,10.043,10.213,10.405,10.583,10.744,10.904,11.065,11.222,11.380,11.514,11.658,11.777
"  TOTAL POPULATION AGE 20 to 24 YEARS (in thousands)","n.a.",17.935,19.513,20.331,21.543,22.492,23.846,24.988,26.099,26.942,27.678,28.316,28.457,28.094,27.810,27.552,27.091,26.369,25.735,25.219,24.871,24.976,24.799,24.577,24.645,24.584,24.572,24.328,24.750,25.525,26.594,28.060,29.434,30.526,32.200,33.963,34.454,35.052,35.475,35.535,35.736,36.774,38.562,40.525,42.502,44.278,44.926,45.148,45.280,44.823,44.702,44.638,45.301,45.132,45.619,46.517,47.266,47.701,47.732,47.788,47.134,46.928,46.273,45.844,45.195,44.996,44.444,44.495,43.960,43.360,42.477,42.620,42.539,43.381,44.538,46.282,46.834,47.670,48.370,49.185,49.976,50.792,51.641,52.537,53.469,54.413,55.355,56.299,57.189,58.056,58.889,59.704
"    TOTAL POPULATION AGE 20 YEARS (in thousands)","n.a.",3.580,3.843,4.136,4.411,4.629,4.865,5.054,5.345,5.426,5.491,5.559,5.662,5.524,5.455,5.423,5.238,5.014,4.954,4.955,5.148,5.443,5.449,5.105,4.892,4.816,4.999,5.008,5.300,5.412,5.654,6.074,6.339,6.187,6.505,6.597,6.840,6.892,7.048,7.231,7.427,7.952,8.463,8.911,9.031,9.001,8.937,8.846,8.827,8.798,8.776,9.110,9.093,9.137,9.146,9.325,9.313,9.330,9.151,9.176,8.659,9.118,8.697,8.701,8.566,8.476,8.652,8.742,8.183,7.962,7.610,8.817,8.711,8.983,9.031,9.204,9.343,9.490,9.635,9.782,9.934,10.099,10.275,10.471,10.652,10.814,10.981,11.151,11.307,11.466,11.603,11.749
"    TOTAL POPULATION AGE 21 YEARS (in thousands)","n.a.",3.242,3.382,3.751,4.037,4.265,4.554,4.792,4.976,5.252,5.363,5.447,5.426,5.480,5.378,5.317,5.263,5.097,4.890,4.852,4.837,5.008,5.122,5.155,4.902,4.701,4.619,4.758,4.787,5.079,5.173,5.433,6.279,6.414,6.366,6.722,6.572,6.838,6.860,6.960,7.032,7.312,8.104,8.542,9.053,9.142,9.071,9.078,9.040,8.997,8.935,8.955,8.757,8.948,9.125,9.131,9.310,9.310,9.332,9.147,9.178,8.659,9.126,8.704,8.705,8.571,8.476,8.662,8.754,8.192,7.963,7.617,8.839,8.734,9.013,9.061,9.240,9.385,9.537,9.687,9.841,9.997,10.168,10.347,10.549,10.737,10.905,11.073,11.245,11.408,11.571,11.708
"    TOTAL POPULATION AGE 22 YEARS (in thousands)","n.a.",3.650,3.752,3.928,4.263,4.461,4.730,4.980,5.188,5.325,5.605,5.700,5.650,5.559,5.609,5.477,5.372,5.297,5.109,4.883,4.803,4.744,4.739,4.909,5.045,4.832,4.676,4.615,4.815,4.899,5.226,5.434,5.602,6.432,6.681,6.694,6.976,6.840,7.075,7.035,6.999,7.127,7.478,8.227,8.728,9.177,9.333,9.139,9.296,9.189,9.175,8.973,8.783,8.843,9.173,9.377,9.376,9.557,9.557,9.586,9.390,9.423,8.893,9.378,8.927,8.936,8.794,8.694,8.880,8.978,8.398,8.163,7.812,9.080,8.974,9.257,9.309,9.495,9.647,9.805,9.963,10.123,10.288,10.467,10.653,10.862,11.055,11.231,11.406,11.584,11.749,11.920
"    TOTAL POPULATION AGE 23 YEARS (in thousands)","n.a.",4.203,3.945,4.107,4.259,4.503,4.752,4.991,5.210,5.377,5.508,5.781,5.743,5.641,5.567,5.607,5.461,5.355,5.281,5.096,4.851,4.781,4.614,4.664,4.929,5.084,4.915,4.770,4.776,5.031,5.145,5.552,5.521,5.772,6.654,6.998,6.879,7.264,7.041,7.207,7.087,7.140,7.339,7.506,8.251,8.722,9.057,9.178,9.071,9.067,8.924,8.909,9.172,8.857,9.029,9.376,9.602,9.597,9.783,9.788,9.814,9.612,9.650,9.112,9.605,9.118,9.135,8.988,8.886,9.072,9.171,8.580,8.345,7.986,9.294,9.190,9.481,9.537,9.731,9.888,10.053,10.218,10.384,10.555,10.744,10.938,11.153,11.358,11.539,11.720,11.904,12.078
"    TOTAL POPULATION AGE 24 YEARS (in thousands)","n.a.",3.260,4.591,4.409,4.573,4.634,4.945,5.171,5.380,5.562,5.711,5.829,5.976,5.890,5.801,5.728,5.757,5.606,5.501,5.433,5.232,5.000,4.875,4.744,4.877,5.151,5.363,5.177,5.072,5.104,5.396,5.567,5.693,5.721,5.994,6.952,7.187,7.218,7.451,7.102,7.191,7.243,7.178,7.339,7.439,8.236,8.528,8.907,9.046,8.772,8.892,8.691,9.496,9.347,9.146,9.308,9.665,9.907,9.909,10.091,10.093,10.116,9.907,9.949,9.392,9.895,9.387,9.409,9.257,9.156,9.335,9.443,8.832,8.598,8.226,9.570,9.461,9.763,9.820,10.023,10.185,10.355,10.526,10.697,10.871,11.062,11.261,11.486,11.692,11.878,12.062,12.249
"  TOTAL POPULATION AGE 25 to 29 YEARS (in thousands)","n.a.",18.574,19.113,21.200,22.498,23.804,25.429,27.326,27.535,28.200,29.015,29.953,30.143,30.203,30.319,30.338,30.216,30.187,29.941,29.676,29.345,29.160,28.899,28.525,28.474,28.428,28.899,29.733,30.550,31.415,32.163,32.917,32.362,32.770,33.689,35.330,37.234,39.382,39.558,39.592,39.216,38.459,37.749,37.005,36.742,37.077,37.565,38.829,40.435,41.697,42.391,42.253,45.263,46.850,48.467,49.895,50.739,51.607,52.238,52.923,54.003,54.906,55.384,55.301,55.279,54.482,54.220,53.400,52.771,51.982,51.675,50.992,51.040,50.426,49.777,48.850,49.098,49.026,49.960,51.190,53.050,53.712,54.651,55.441,56.357,57.243,58.165,59.103,60.105,61.129,62.160,63.187
"    TOTAL POPULATION AGE 25 YEARS (in thousands)","n.a.",3.433,3.405,4.868,4.650,4.715,4.818,5.099,5.299,5.480,5.659,5.812,5.828,5.931,5.879,5.804,5.722,5.764,5.636,5.551,5.476,5.337,5.058,4.965,4.904,5.046,5.382,5.593,5.440,5.351,5.392,5.713,5.848,6.012,6.245,6.511,7.617,7.639,7.665,7.696,7.276,7.360,7.184,7.141,7.307,7.430,8.064,8.317,8.619,8.965,8.477,8.487,9.273,9.626,9.611,9.403,9.555,9.922,10.181,10.179,10.359,10.356,10.375,10.164,10.208,9.636,10.157,9.620,9.643,9.488,9.383,9.568,9.676,9.052,8.813,8.429,9.810,9.698,10.011,10.068,10.273,10.439,10.613,10.787,10.963,11.140,11.333,11.536,11.764,11.970,12.157,12.344
